morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-age,http://www.ad-erpelle.de/presse52.htm,a3ff759c690e4cf67e22c9a9ef91036b716b,11,Vernissage,Vernissage,_,,
-age,http://www.annemarie-besold.de/Seiten/info2.htm,73b9e93b74587de41d5ee1937f6ded748862,5,Kursunterlagen,Kursunterlage,Kurs_Unterlage,Kurs,Unterlage
-age,http://www.bergbruederschaft-bad-schlema.de/seite12.html,82fcac4dddfcbdd7ce839a89c26e47ce77f0,568,Aufbereitungsanlagen,Aufbereitungsanlage,Aufbereitung_+s_Anlage,Aufbereitung,Anlage
-age,http://www.beko.at/presse/aktuelles/aktuelles_detailansicht/article/75/?%26type=98,9fec4aa8aa53d9a6024d4232a1c05a505c11,21,Rohrpostanlagen,Rohrpostanlage,Rohr_Post_Anlage,Rohr,Anlage
-age,http://www.nomokanon.de/abhandlungen/027_anm.htm,b89c892002fa6327fdc88f6932ef9a860f08,164,Tragen,Trage|Tragen,_,,
-age,http://www.autobahn-online.de/a42geschichte.html,6769f1485eec2969f71ceec49b68c695c105,70,Dammlage,Dammlage,Damm_Lage,Damm,Lage
-age,http://www.energieinfo.de/eglossar/abklingbecken.html,ad7be708a3e8afa01c875f907a807986ae41,8,Wiederaufarbeitungsanlage,Wiederaufarbeitungsanlage,Wiederaufarbeitung_+s_Anlage,Wiederaufarbeitung,Anlage
-age,http://www.gbuettner.de/deutsch/veroeffentlichungen/montage-und-wartung-der-waegezellen,aa5e670011ca815f15c85e3a98ad2fbe078d,29,Montage,Montag|Montage,_,,
-age,http://www.cagematch.de/cageboard/archive/index.php/t-7305.html,bfdadca6bfd2c9bcd2808c25ed21165ae0ef,4,Trage,Trage,_,,
-age,"http://www.gtai.de/GTAI/Navigation/DE/Trade/maerkte,did=768588.html",75ef042d5b390cf9daff8fc8c546036f3f19,107,Sisalplantagen,Sisalplantage,Sisal_Plantage,Sisal,Plantage
-age,http://www.ganzheitliche-heilung-rv.de/Herz1.html,eb642fcf35a43a89b9c18bcf20cb964b7b81,26,Waage,Waage,_,,
