morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-ament,http://www.stadtarchiv.goettingen.de/chronik/1952_11.htm,9dcf09dca34d9e6b7a652a6d0ab75971ca41,5,Stadtparlament,Stadtparlament,Stadt_Parlament,Stadt,Parlament
-ament,http://www.gratis-webserver.de/paulusjahr/15.html,6044e493ea9bf270627d95217846bf90221e,12,Sakramentes,Sakrament,_,,
-ament,http://www.hirtenhunde-liptak.de/blaettle/pages/gesundheit/2005-02-milben.html,dbf136b2c337cb940698a5bb860338282786,31,Medikamente,Medikament,_,,
-ament,http://www.lexikus.de/bibliothek/Der-Goldkaefer-Eine-Geschichte,a906cae6fad603f7b14f9352fbbe968ef083,438,Pergament,Pergament,_,,
-ament,http://infobib.de/blog/2007/12/10/ergebnisse-der-umfrage-zu-landesbibliotheksgesetze,cb2d4c3b701941a6dcc9d3261e09a4def63a,98,Fundament,Fundament,_,,
-ament,http://www.webdealz.de/category/gutschein/page/39,b575eb3d758a47f9a63b1c3b54abd6413f53,57,Medikamente,Medikament,_,,
-ament,http://www.unna.de/herbstblatt/hb51/hb51_17.html,508fcfc070312eb351bb0c14ff99a9c3c461,9,Testamentes,Testament,_,,
-ament,http://scienceblogs.de/bloodnacid/2012/10/08/gastbeitrag-homoopathie-in-der-pharmazie-eine-bestandsaufnahme-teil-1,3e02e8b7299221ce5b536e7416d5063cd8f1,79,Medikament,Medikament,_,,
-ament,http://www.tierklinik-lengfeld.de/digitales-roentgen-spiral-ct-op-ultraschall-hauseigenes-labor-endoskopie-arthroskopie,c1e414350232979e02f0ef4a6efd9f62db7a,10,Medikamenten,Medikament,_,,
-ament,http://www.ratgebergesund.de/gesundheit/artikel/1_354.html,78587131fbc7acdbab57a7f203d4c51247ef,13,Medikamente,Medikament,_,,
-ament,http://www.gesundheit-wissen24.de/allgemein/news/nebenwirkungen-von-medikamenten-1,9c914958dac48e3eabcd3b1a4b2084fd66d8,64,Medikamente,Medikament,_,,
-ament,http://www.so.ch/staatskanzlei/medienmitteilungen/archiv/2005/august.html,548e0e3de4bb0dfda706278ff5ec36409c5c,24,Parlaments,Parlament,_,,
-ament,http://www.sfb688.uni-wuerzburg.de/aktuelles,c6729fdbc836b3d78fd3df4e765de0da9411,13,Medikamente,Medikament,_,,
-ament,http://www.pro-linux.de/news/1/5667/comm/1/show-all-comments.html,9974202fbd981499cae0020caf739d191e6b,118,Parlaments,Parlament,_,,
-ament,http://www.wien-vienna.at/schoenbrunn.htm,5d74eb40fb6ac464d90b19067b368c93a3f0,21,Testament,Testament,_,,
-ament,http://www.storyal.de/weblog-2012/weblog-03-2012.html,7ae076e43eeb420b91faea142833f7ba0cf8,163,Medikamente,Medikament,_,,
-ament,http://www.holodens.de/zahnarztpraxis/zahntechnik.html,dc0f33694a8be0fbfe127719e314137e90fb,15,Medikamente,Medikament,_,,
-ament,http://www.weinboehla.de/weinboehla/module/ll_db/idx.asp?op=detail_ll%26ll_zfinder_id=34736,975f87b05ba0a0de1ed80f4ebff307fcf523,6,Testament,Testament,_,,
-ament,http://ihre-musik-tipps.de/Classical.464374/3.grunge.de.html,f6add1b69d25a9307af873ab5cb7a10e3416,94,Fundament,Fundament,_,,
-ament,http://www.bmz.de/de/presse/reden/kopp/2010/maerz/20100315_rede.html,b136cc88476857335e9cf15bb099f645c4e9,39,Medikamenten,Medikament,_,,
-ament,http://www.mcsl.de/seminare/trainer/netzwerkpartner/eintrag/dr-ramona-zuehlke-2/netzwerkpartner,7ed93a222ae13e0d450f31559e313521b998,3,Fundament,Fundament,_,,
-ament,http://www.gesundheitsinformation.de/grippe-helfen-antivirale-grippemittel-und-welche-nebenwirkungen-haben.322.ru.html,588b45ae24f247e9e90987f154a7567adcca,39,Medikamente,Medikament,_,,
-ament,http://www.realschule-feucht.de/SZ%2009-10/reportagen/Anneliese%20Michel%20verb.htm,ffd2d1204d3b89ef8619c6286cd40d3f4044,22,Medikamenten,Medikament,_,,
-ament,http://www.kritische-bioethik.de/deutschland_presse_juni09-2.html,1949a5397581baf0b660c88fcde9377658f3,234,Medikamente,Medikament,_,,
-ament,http://www.pds-kamenz.de/fruhschoppen_dateien/2003/20030427/04_03.htm,d3ff43853cf66cda4c7e04c77fa52735a602,55,Parlaments,Parlament,_,,
-ament,http://www.machtvonunten.de/parteien-und-parlament/138-moeglichkeiten-und-grenzen.html,01f0d06de6720bed6ae720bfa4e106b06a39,11,Fundamente,Fundament,_,,
-ament,http://www.fiket.de/2010/06/18/brollopsjippo,538d03b69809bf04652fd01719dd6c048ebd,51,Parlament,Parlament,_,,
-ament,http://www.krebsinformationsdienst.de/leben/schmerzen/schmerzen-behandlung-durchfuehrung.php,9ac3bf147abaf9f172efc82396675b493871,37,Medikamenten,Medikament,_,,
-ament,"http://www.monde-diplomatique.de/pm/2008/09/12.mondeText.artikel,a0052.idx,20",603d19d761621d4bb2145c57f6fb16c6217b,17,Fundament,Fundament,_,,
-ament,http://www.freitag.de/autoren/der-freitag/in-die-falsche-richtung,1cb132c1309b7a6e57ce553fe1d17249ad4e,26,Parlaments,Parlament,_,,
-ament,http://www.deutsches-architektur-forum.de/forum/archive/index.php/t-5125.html,4a0f34b946d1051f9c83c94faa84ae1b006e,246,Ornamenten,Ornament,_,,
-ament,http://www.deutsche-depressionshilfe.de/stiftung/forschungspreis.php,6d8935cf57ad197bc989dd5618d11f42e924,18,Medikamentes,Medikament,_,,
-ament,http://www.oeffentlichen-dienst.de/wirtschafts-news/82-steuer/668-was-sie-von-der-steuer-absetzen-koennen.html,b2d54785055c5db231a484a727ca77972d2b,31,Medikamente,Medikament,_,,
-ament,http://www.portal21.de/Portal21/DE/Land/Polen/03Dienstleistungen/HintergrundinfoDL/start.html,597d25e537f9bb6cf0d6ea1acd1a47e2ac47,27,Parlaments,Parlament,_,,
-ament,http://m.srf.ch/news/international/europawahlen,ca5579f45c5e9a0b8773db116b41a81a39c3,1,Parlament,Parlament,_,,
-ament,http://gaertner-online.de/category/allgemein/page/6,2305fa99a77446de1c0def54e75a3a997f87,463,Parlament,Parlament,_,,
-ament,http://www.academics.de/wissenschaft/lebensretter_aus_dem_labor_36166.html,6f272ba5cefdc5dfb22fb6089a9c2c3764f3,17,Medikamente,Medikament,_,,
-ament,http://marc-reinhardt.tp3.de/40,2191cac11f6802c8c184a0e79a58b712cc48,22,Studierendenparlament,Studierendenparlament,studierend_+en_Parlament,studierend,Parlament
-ament,http://www.evangelische-kirchengemeinde-kenzingen.de/predigten/95.html,0d7b7ae5bcfe6c454b10475e4d9660daa8a4,87,Medikament,Medikament,_,,
-ament,http://www.karl-sendker.de/impulse_4.htm,61ef3b6a19acd4ad44fa9cc5aca9f3c9332c,408,Testament,Testament,_,,
-ament,http://www.bauhandwerk.de/artikel/bhw_Kontrollierte_Erosion_im_Lehmbau_1176521.html,880b79bc5f23aaa2bfc61ccb54e7465d1b4d,19,Streifenfundamente,Streifenfundament,Streifen_Fundament,Streifen,Fundament
-ament,http://www.h-a-h-n.de/privat/info/leben_mit_epilepsie.html,12010bc3461903a4b862ede7c07b180d7641,38,Medikamente,Medikament,_,,
-ament,http://www.pressrelations.de/new/standard/result_main.cfm?sid=%26aktion=jour_pm%26profisuche=0%26poffset=9112905000563733%26query=Pressemitteilungen%20suchen,28722faeffed64dec7319468001b1a283423,6,Parlament,Parlament,_,,
-ament,http://www.landtag.ltsh.de/plenumonline/april2013/texte/18_25_56_hsh_bilanz_garantiesumme.htm,d024b56eaf3ae50e1e9c51857b38748fa172,36,Länderparlamente,Länderparlament,Land_+=er_Parlament,Land,Parlament
-ament,http://www2.rgzm.de/Transformation/Deutschland/GrabbautenRaetia/GrabbautenInRaetien.htm,56c83eca8fb3edd61e3c35ecd1a5c9c08aac,421,Fundamente,Fundament,_,,
-ament,http://www.ketelaars-urlaub.de/reisebericht_tuerkei.html,5895900f12a2ecf2024121ad252320f67a10,103,Marmorornamenten,Marmorornament,Marmor_Ornament,Marmor,Ornament
-ament,http://kurier.at/politik/ausland/ukraine-polizei-stuermt-maidan-platz-in-kiew-zahlreiche-tote-nach-raeumung/51.929.802,9153524a8c3a7bf965273359948c18cb58d9,74,Parlament,Parlament,_,,
-ament,http://www.deutschlands-dicke-seiten.de/forum/archive/index.php/t-27942.html,29260b847367d67b29c742940b0ba87e2437,23,Medikamente,Medikament,_,,
-ament,http://www.rbk.de/service/presse/pressemeldung/archive/2009/april/article/krebsforschung-am-robert-bosch-krankenhaus.html,5894511ef09d0626d3a27e3fb7b6823baf8f,9,Medikamente,Medikament,_,,
-ament,http://www.quanten.de/forum/archive/index.php5?t-307.html,59a60122fde3ba40f7fdf4919342cf26e5ea,204,Fundament,Fundament,_,,
-ament,http://www.allergieforum.de/von-januar-bis-ende-der-sommerzeit-429-print.html,538e667e81ee2554d612a5e921df6edf42f9,9,Medikamente,Medikament,_,,
-ament,http://www.wladimirputin.de/biographie.html,ef98980ab2f027adbcadcb50f00394dbd1af,348,Parlament,Parlament,_,,
-ament,http://41419.dynamicboard.de/t26f3-Orthodoxes-Christentum.html,463eb0b37fe226fb5d183a89a08fb4021154,5,Testament,Testament,_,,
-ament,http://www.verbraucherfuersklima.de/cps/rde/xchg/projektklima/hs.xsl/forderungen_verbraucherparlament_uebergabe.htm,c2cc9499804b1661736d4abdb27bac558a98,15,Verbraucherparlamente,Verbraucherparlament,Verbraucher_Parlament,Verbraucher,Parlament
-ament,http://www.inst.at/berge/virtualitaet/arlt.htm,25e88befc5fa3d77d6a133de7e370db8f02e,39,Fundamente,Fundament,_,,
-ament,"http://www.bpb.de/themen/U3WGB7,0,Au%DFerparlamentarische_Opposition_und_Studentenbewegung.html",1b88a85fd1c9c8bede22e0af5a7756991115,2,Parlaments,Parlament,_,,
-ament,http://www.magazin-forum.de/news/politik/das-saarland-europa,412dfe0f7b5e35aae0a00516fc1693f5c13d,27,Europaparlament,Europaparlament,Europa_Parlament,Europa,Parlament
-ament,http://www.erbrecht-heute.de/Erbrecht/Was-bedeutet-der-Begriff-Nottestament.html,ed734d07b49e1c164a65deb356fceaeb1f22,13,Nottestament,Nottestament,Not_Testament,Not,Testament
-ament,http://www.krankenschwester.de/forum/alltag-altenpflege/2716-meinungen-unterschied-zwischen-krankenpflege-altenpflege-3.html,d73fe507c27d4781e88af1ac781867ac6699,43,Medikamente,Medikament,_,,
-ament,http://www.linksruck.de/artikel_1647.html,38bf8954e68991cb34752fe130a2ca6ce3e8,18,Parlament,Parlament,_,,
-ament,http://www.erdkunde-wissen.de/erdkunde/land/afrika/burundi/politik.htm,1a69ead073b819ae35b65536c2869e7e459e,11,Parlament,Parlament,_,,
-ament,http://www.polyglott.de/online_reisefuehrer/1551/venetien_-_friaul/sehenswuerdigkeiten,d4e4eed3e65cff48bb7dc34caaccb5998d8d,25,Testament,Testament,_,,
-ament,http://www.politik-sind-wir.de/archive/index.php/t-603.html,43e8c60614c83979f7e0e25b7a5fe6b52fa1,45,Parlamente,Parlament,_,,
-ament,http://www.uni-giessen.de/cms/org/ssv/stupa,255d71c105812d65df70cd355404dba32ef0,6,Studierendenparlament,Studierendenparlament,studierend_+en_Parlament,studierend,Parlament
-ament,http://www.philosophia-online.de/mafo/heft2007-5/Lo_Rad07.htm,39537bb05bbab49b0329111a913b14b45d95,50,Medikamente,Medikament,_,,
-ament,http://www.hiv-symptome.de/forum/4-vt3347.html?start=30,e9d103e3e38a2e0c5b5823caea0ea436aa13,18,Medikamente,Medikament,_,,
-ament,http://www.duisburgweb.de/Reisen/duesseldorfer%20kirchen.htm,237e2b1fcab5281b05f6480c7111c9094aa3,990,Landesparlament,Landesparlament,Land_(e)_+s_Parlament,Land,Parlament
-ament,http://www.landtag.nrw.de/portal/WWW/GB_II/II.1/OeA/Newsletter/2010/03/23.03.2010/index.jsp?r2010=true,57a7d94f69dcbf4c04fb1112563011e9706e,20,Parlament,Parlament,_,,
-ament,http://www.weiterbildung.uni-wuerzburg.de/programm0,2971aea529d9e607926918de5d6ad839d880,132,Medikamenten,Medikament,_,,
-ament,http://www.iablis.de/iablis_t/2006/kaiser06.html,7d16270586cd7afdf7cefcee48a483c51731,89,Parlaments,Parlament,_,,
-ament,http://hsozkult.geschichte.hu-berlin.de/forum/type=diskussionen%26id=776,3862e4c52547a92ebb2f56303b9559c69a9a,122,Bauwelt-Fundamente,Bauwelt-Fundament,Bauwelt_--_Fundament,Bauwelt,Fundament
-ament,http://www.weblexikon.de/Darmstadt.html,0d7bf8f1fe0426b7dec99ad7941769593bb6,59,Parlament,Parlament,_,,
-ament,http://www.maranatha-shalom.de/13624/65-1128M.html,a57e7a1ad1b1abe89405dca7a906ca89663e,204,Testament,Testament,_,,
-ament,http://www.bibelkreis.ch/brunoob/kadchr.htm,84af2a0a0aab0f753050bb8ac1e673b472fe,24,Testament,Testament,_,,
