morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-enz,http://www.fussball-pur.de/forum/archive/4686/thread.html,1861dcaf872fdfbfa796f43e477a41e30f58,51,Lizenz,Lizenz,_,,
-enz,http://www.goblack.de/desy/digitalt/aktoren/touchdisp-edip240/g240bargraph.html,ba4cdb6145dab4a081204638e768d14b6fb5,5,ESC-Sequenz,ESC-Sequenz,_,,
-enz,http://www.swop-exchange.de/konferenzen/mba-konferenz-2010/partner/medienpartner/wirtschaft-weiterbildung.html,117025b5c1d05c3b95c5435af5155fa043c5,6,Konferenz,Konferenz,_,,
-enz,http://www.holsteiner-pferdemarkt.de/html/stuttgart_04_vorbericht.html,96499c71be361ca97f83c4eac4c2a468071f,26,Konkurrenz,Konkurrenz,_,,
-enz,http://www.arxes-berlin.de/leistgspekt/softwareentw.html,5ba477f1802f2da7822c36b6324ee9642e84,27,Konkurrenz,Konkurrenz,_,,
-enz,http://www.spieleflut.de/artikel/1684,251302371468318a0d2cc8310dd2d48ad298,37,Konkurrenz,Konkurrenz,_,,
-enz,http://www.fwnetz.de/2009/10/24/feuerwehrstreit-kusel-geht-wehrleiter-milak,0e345364a66c673f788dad6b5e293e9173f1,27,Differenzen,Differenz,_,,
-enz,http://www.thehighrisepages.de/bergtouren/tour_518.htm,4e23aaf7469dfbe6bbf5b2c7a9713e50c3c5,40,Besucherfrequenz,Besucherfrequenz,Besucher_Frequenz,Besucher,Frequenz
-enz,http://rrzk.uni-koeln.de/videokonferenz.html,17ee023d348b15becd5625e65d597a6fdcd9,13,Videokonferenzen,Videokonferenz,Video_Konferenz,Video,Konferenz
-enz,http://www.flugzeugforum.de/forum/archive/index.php/t-36038.html,91fec0438fb87350c6239a5503d6a92d84ad,23,Lizenz,Lizenz,_,,
-enz,http://www.laborjournal.de/rubric/tricks/tricks/trick174.lasso,fb20a070c4edd37339cbe4ab0fa67e9f045d,20,DNA-Sequenzen,DNA-Sequenz,_,,
-enz,http://www.dj4uf.de/lehrg/bv07/bv07.htm,01c333442b7c01f5c117a1dab27b5cba73ce,90,Eingabefrequenz,Eingabefrequenz,Eingabe_Frequenz,Eingabe,Frequenz
-enz,http://www.netzwerk-fgf.nrw.de/no_cache/koordinations-forschungsstelle/publikationen/studien-des-netzwerks,47c29637213ea74cd1b2ec9a67d994cfcc71,14,Konsequenzen,Konsequenz,_,,
-enz,http://www.oas-roisdorf.de/html/archiv_aktuelles_2006.htm,21a86a573fd49629fdd24ad3da9eaf4b3c92,65,Residenz,Residenz,_,,
-enz,http://www.cinegraph.de/cgbuch/b12/vonwilhelmzuweimar.html,aae2e4db4fba5735add01967808f1c360635,94,Existenz,Existenz,_,,
