morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-el,http://www.golem.de/specials/camcorder,f9f69d65bf6f513e061c3bb7be6f07f898bc,107,Wechsel,Wechsel,_,,
-el,http://www.ikz.de/1996-2005/1998/22/9822076.php,a223dba71c7fe198b74fd1975aa2f01c24b2,17,Langlochziegel,Langlochziegel,lang_Loch_Ziegel,lang,Ziegel
-el,http://openbook.galileocomputing.de/excel_2007/excel2007_03_001.htm,56568d4c6f9b6a69a10c5f188b37fb183776,29,Regel,Regel,_,,
-el,http://www.oeko-net.de/kommune/kommune8-97/TPRAG67.html,b2ed3c24eee2ae99ff25f5755f417c2297ce,40,Zettel,Zettel,_,,
-el,http://www.forum.birth-of-the-empires.de/viewtopic.php?f=68%26t=2214,063ec41d447ae4c9aa9eb594d6e9808ba33d,14,Rundenwechsel,Rundenwechsel,Runde_+n_Wechsel,Runde,Wechsel
-el,http://www.jusohochschulgruppen.de/meldungen/beschluesse/beschluss.html?%26object=7,67df75578d3fe7e50cae4e8e15324ece2869,111,Drittmitteln,Drittmittel,_,,
-el,http://www.wolf-herrmann.de/fenster_holz_alu_system_ahf100.asp,42114f330d358423d6d77b2b6e041ddbcf22,2,Flügel,Flügel,_,,
-el,http://www.slowfood.de/aktuelles/aktuelles_2012_artikelseiten/un_dekade_bildung,bbcf3a427edc33a58bf5a340694f8f1aa5b0,5,Klimawandel,Klimawandel,Klima_Wandel,Klima,Wandel
-el,http://www.gtrp.de/archive/index.php/t-9000.html,ab0aaa071588d203e287cd8b013d759f3c34,24,Gebrauchtwagenhandel,Gebrauchtwagenhandel,gebraucht_Wagen_Handel,gebraucht,Handel
-el,http://www.thueringer-gastlichkeit.de,0d1db6403204670bc2e3d74c8526a0497f4a,4,Reiseziel,Reiseziel,Reise_Ziel,Reise,Ziel
-el,http://www.hamm-chemie.de/j11/j11ve/alk_dest.htm,c086037893b2e5e82d7938b92bc747787462,16,Formel,Formel,_,,
-el,http://info.kopp-verlag.de/hintergruende/enthuellungen/andreas-von-r-tyi/das-verschwinden-von-flug-af-447-luftfahrt-expert.html,e3a019c9264e83397c9e5c2a6e9962702c35,4,Rätsel,Rätsel,_,,
-el,http://listigas.de/Biografie.htm,c3d51df4a3782fb15510ba59abbb0e9454aa,1054,Model,Model,_,,
-el,http://www.campingplatz-kreuzeck.de/agb2.html,752cda7c867cba06b7bb5bb3cdc7722d79bd,50,Regeln,Regel|Regeln,_,,
-el,http://www.wiifit.de/371-wii-fit-uk-import-multilingual-spiel-und-anleitung-komplett-in-deutsch-uk-import.html,9c38abb8dc2da0b41b16949ec3c10821dd78,174,Wechsel,Wechsel,_,,
-el,http://archiv.handwerk-special.de/archiv/hs78a/78a-01.htm,fbce287d8bf29a51a2567bf1fe77bc00a49a,18,Mandeln,Mandel,_,,
-el,http://forum.mikrokopter.de/topic-post350147.html,06891ebf3a8ea7c10d45427c3d65470e05e3,11,Würfel,Würfel,_,,
-el,http://blogblume.de/beispiel-fur-einen-tollen-support-nicht,477d1a971477dcdd53d4e2eb4d921c96dd00,17,Handel,Handel,_,,
-el,http://www.bikerszene.de/magazin/tourenberichte/Motorradtour_Zentralschweiz-3714253-1.html,39e636484f6e21a44d96d781e45070b44654,48,Grand-Hotel,Grand-Hotel,Grand_--_Hotel,Grand,Hotel
-el,http://blog.solingen-internet.de/totterblotschen/totterblotschen40.html,dbb53d2f68dd35180b7b26ef0b52134cc6ff,63,Spiegel,Spiegel,_,,
-el,http://www.detektiv-klub.de/schule/spuren/arten/index.html,b8f48eb70d07cb754d4386351c04cef6fe59,23,Zettel,Zettel,_,,
-el,http://www.nnz-online.de/news/news_lang.php?ArtNr=114216,a2b8b8425c05f680d2beb6b5cc7e42c7e618,23,Fahrradhotel,Fahrradhotel,Fahrrad_Hotel,Fahrrad,Hotel
-el,http://www.virtualtwilight.de/cthulhu/rezensionen/waffenhandbuch.html,5e152b1e88575e26b114f199e027f0304e8f,3,Cthulhu-Rollenspiel,Cthulhu-Rollenspiel,Cthulhu_--_Rolle_+n_Spiel,Cthulhu,Spiel
-el,http://www.breitachklamm.de/unterkuenfte/hotels.html,f6a9f636d2f4dd98f5d46e22db7d48cf3b01,5,Wellnesshotel,Wellnesshotel,Wellness_Hotel,Wellness,Hotel
-el,http://www.rubber-boots.de/forum/2002forum/messages/801.html,3728dd00de66877980d54689e23c7791c7cd,2,Gummistiefel,Gummistiefel,Gummi_Stiefel,Gummi,Stiefel
-el,http://www.oekoferienhaus.de/Gaestebuch.htm,39d24462047ab78f08ba454bdcd2e3a93a3c,325,Ausflugsziel,Ausflugsziel,Ausflug_+s_Ziel,Ausflug,Ziel
-el,http://community.arcadeinfo.de/archive/index.php/t-11751.html,e48efd27226f1b712c575ecd3f3a8980baa0,7,Sync-Kabel,Sync-Kabel,Sync_--_Kabel,Sync,Kabel
-el,http://www.spottolski.de/files/01/fussball_17.htm,4e1dbab391d6f4d78fad3087c429c6d415ca,23,Regel,Regel,_,,
-el,http://mizine.de/category/internet/page/7,30c2793139a343c13954722a84e40138ecff,139,Privatkapsel,Privatkapsel,privat_Kapsel,privat,Kapsel
-el,http://www.mtb-news.de/forum/archive/index.php?t-336449.html,b2de8b1ef806908ef476e780fa643d954683,613,Feldberg-Gipfels,Feldberg-Gipfel,Feldberg_--_Gipfel,Feldberg,Gipfel
-el,http://www.faz.net/aktuell/wirtschaft/wirtschaftspolitik/warum-das-freihandelsabkommen-schlecht-ankommt-12922065-p2.html?printPagedArticle=true,d0d54e6955bb874914163439719978547468,85,Zweifel,Zweifel,_,,
-el,http://www.pilgerreise-in-mein-herz.de/6.html,7538063d5d924ee98218fe6091bfe2320ba4,43,Siegel,Siegel,_,,
-el,http://www.angler-online.de/angellexikon/angelbegriffe-nach-s_4672.html,ed643ecce97fa161cdf9a0ef0201b65948ae,205,Insektenflügeln,Insektenflügel,Insekt_+en_Flügel,Insekt,Flügel
